0.3;1;0.2999999719783287;1;0.2999999719783287;1;0.2999999719783287;202;1.2347184284733514e-07
0.2;1;0.19999999954202397;1;0.19999999954202397;1;0.19999999954202397;1;0.19999999954202397
0.1;1;0.0999999999995792;1;0.0999999999995792;1;0.0999999999995792;1;0.0999999999995792
0.0;1;0.0;1;0.0;1;0.0;1;0.0
-0.1;1;-0.1000000000003682;1;-0.1000000000003682;1;-0.1000000000003682;1;-0.1000000000003682
-0.2;1;-0.2000000003499929;1;-0.2000000003499929;1;-0.2000000003499929;1;-0.2000000003499929
-0.3;1;-0.30000001859054404;1;-0.30000001859054404;1;-0.30000001859054404;202;-1.2339064682943556e-07
-0.4;1;-0.4000003002460556;1;-0.4000003002460556;1;-0.4000003002460556;206;-1.2271185187385738e-07
-0.5;1;-0.5000024880872789;1;-0.5000024880872789;145;-1.3161745867565867e-05;209;-1.228490181943292e-07
-0.6;1;-0.6000131991976202;1;-0.6000131991976202;148;-1.2600322423135904e-05;211;-1.2651956438673627e-07
-0.7;1;-0.7000494407743927;1;-0.7000494407743927;150;-1.2515478045913677e-05;213;-1.2566764383372642e-07
-0.8;1;-0.8001328759633891;88;-0.0012792299168158175;151;-1.2844719872314041e-05;214;-1.2897355387755059e-07
-0.9;1;-0.9002252333668005;86;-0.0012872915386244574;149;-1.2925666442189665e-05;212;-1.2978633663146324e-07
-1.0;1;-1.0;1;-1.0;1;-1.0;1;-1.0
-1.1;-;-;-;-;-;-;-;-
-1.2;-;-;-;-;-;-;-;-
-1.3;-;-;-;-;-;-;-;-
-1.4;-;-;-;-;-;-;-;-
0.3;1;0.2999999719783287;1;0.2999999719783287;1;0.2999999719783287;202;1.2347184284733514e-07
0.2;1;0.19999999954202397;1;0.19999999954202397;1;0.19999999954202397;1;0.19999999954202397
0.1;1;0.0999999999995792;1;0.0999999999995792;1;0.0999999999995792;1;0.0999999999995792
0.0;1;0.0;1;0.0;1;0.0;1;0.0
-0.1;1;-0.1000000000003682;1;-0.1000000000003682;1;-0.1000000000003682;1;-0.1000000000003682
-0.2;1;-0.2000000003499929;1;-0.2000000003499929;1;-0.2000000003499929;1;-0.2000000003499929
-0.3;1;-0.30000001859054404;1;-0.30000001859054404;1;-0.30000001859054404;202;-1.2339064682943556e-07
-0.4;1;-0.4000003002460556;1;-0.4000003002460556;1;-0.4000003002460556;206;-1.2271185187385738e-07
-0.5;1;-0.5000024880872789;1;-0.5000024880872789;145;-1.3161745867565867e-05;209;-1.228490181943292e-07
-0.6;1;-0.6000131991976202;1;-0.6000131991976202;148;-1.2600322423135904e-05;211;-1.2651956438673627e-07
-0.7;1;-0.7000494407743927;1;-0.7000494407743927;150;-1.2515478045913677e-05;213;-1.2566764383372642e-07
-0.8;1;-0.8001328759633891;88;-0.0012792299168158175;151;-1.2844719872314041e-05;214;-1.2897355387755059e-07
-0.9;1;-0.9002252333668005;86;-0.0012872915386244574;149;-1.2925666442189665e-05;212;-1.2978633663146324e-07
-1.0;1;-1.0;1;-1.0;1;-1.0;1;-1.0
-1.1;-;-;-;-;-;-;-;-
-1.2;-;-;-;-;-;-;-;-
-1.3;-;-;-;-;-;-;-;-
-1.4;-;-;-;-;-;-;-;-
-1.5;1;0.2999999719783287;1;0.2999999719783287;1;0.2999999719783287;202;1.2347184284733514e-07
-1.4;1;0.2999999205423745;1;0.2999999205423745;1;0.2999999205423745;202;1.2347182971148565e-07
-1.3;1;0.29999974677043706;1;0.29999974677043706;1;0.29999974677043706;202;1.234717853290779e-07
-1.2;1;0.2999990365064661;1;0.2999990365064661;1;0.2999990365064661;202;1.2347160392290603e-07
-1.1;1;0.2999947667271144;1;0.2999947667271144;139;1.229666167208727e-05;202;1.234705133661465e-07
-1.0;2;-1.0;2;-1.0;2;-1.0;2;-1.0
-0.9;-;-;-;-;-;-;-;-
-0.8;-;-;-;-;-;-;-;-
-0.7;-;-;-;-;-;-;-;-
-0.6;-;-;-;-;-;-;-;-
-0.5;-;-;-;-;-;-;-;-
-0.4;-;-;-;-;-;-;-;-
-0.3;-;-;-;-;-;-;-;-
-0.2;-;-;-;-;-;-;-;-
-0.1;-;-;-;-;-;-;-;-
0.0;2;0.0;2;0.0;2;0.0;2;0.0
0.1;-;-;-;-;-;-;-;-
0.2;-;-;-;-;-;-;-;-
-1.5;1;0.2999999719783287;1;0.2999999719783287;1;0.2999999719783287;202;1.2347184284733514e-07
-1.4;1;0.2999999205423745;1;0.2999999205423745;1;0.2999999205423745;202;1.2347182971148565e-07
-1.3;1;0.29999974677043706;1;0.29999974677043706;1;0.29999974677043706;202;1.234717853290779e-07
-1.2;1;0.2999990365064661;1;0.2999990365064661;1;0.2999990365064661;202;1.2347160392290603e-07
-1.1;1;0.2999947667271144;1;0.2999947667271144;139;1.229666167208727e-05;202;1.234705133661465e-07
-1.0;2;-1.0;2;-1.0;2;-1.0;2;-1.0
-0.9;-;-;-;-;-;-;-;-
-0.8;-;-;-;-;-;-;-;-
-0.7;-;-;-;-;-;-;-;-
-0.6;-;-;-;-;-;-;-;-
-0.5;-;-;-;-;-;-;-;-
-0.4;-;-;-;-;-;-;-;-
-0.3;-;-;-;-;-;-;-;-
-0.2;-;-;-;-;-;-;-;-
-0.1;-;-;-;-;-;-;-;-
0.0;2;0.0;2;0.0;2;0.0;2;0.0
0.1;-;-;-;-;-;-;-;-
0.2;-;-;-;-;-;-;-;-
